doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
buyer-tra-hang-doi-y,data/return_refund_policy/buyer-tra-hang-doi-y.md,Những điều cần biết về Trả hàng do Đổi ý,https://help.shopee.vn/portal/4/article/204305,2026-09-20,v2024-Q3,public-source
buyer-bang-chung-va-dong-goi,data/return_refund_policy/buyer-bang-chung-va-dong-goi.md,Hướng dẫn bằng chứng và cách đóng gói,"https://help.shopee.vn/portal/4/article/79467, https://help.shopee.vn/portal/4/article/79508",2026-09-20,v2024-Q3,public-source
buyer-gui-yeu-cau-va-tra-loi,data/return_refund_policy/buyer-gui-yeu-cau-va-tra-loi.md,Gửi yêu cầu và Trả lời đề xuất hoàn tiền ngay,"https://help.shopee.vn/portal/4/article/79233, https://help.shopee.vn/portal/4/article/190387",2026-09-20,v2024-Q3,public-source
buyer-phuong-thuc-gui-hang,data/return_refund_policy/buyer-phuong-thuc-gui-hang.md,Các phương thức gửi hàng hoàn trả và phí hoàn trả,https://help.shopee.vn/portal/4/article/189477,2026-09-20,v2024-Q3,public-source
buyer-quy-dinh-chung-va-han-che,data/return_refund_policy/buyer-quy-dinh-chung-va-han-che.md,Quy định chung và Sản phẩm hạn chế,"https://help.shopee.vn/portal/4/article/188931, https://help.shopee.vn/portal/4/article/79465",2026-09-20,v2024-Q3,public-source
seller-tong-quan-va-faq,data/return_refund_policy/seller-tong-quan-va-faq.md,Tổng quan quản lý Trả hàng và FAQ cho Người bán,"https://banhang.shopee.vn/edu/article/21021, https://banhang.shopee.vn/edu/article/10626",2026-09-20,v2024-Q3,public-source
seller-quy-trinh-shopee-mall,data/return_refund_policy/seller-quy-trinh-shopee-mall.md,Cập nhật Quy trình xử lý yêu cầu Trả hàng dành cho Shopee Mall,https://banhang.shopee.vn/edu/article/22227,2026-09-20,v2024-Q3,public-source
seller-meo-cung-cap-bang-chung,data/return_refund_policy/seller-meo-cung-cap-bang-chung.md,Mẹo cung cấp bằng chứng khiếu nại cho Người bán,https://banhang.shopee.vn/edu/article/25057,2026-09-20,v2024-Q3,public-source
seller-giai-quyet-tranh-chap,data/return_refund_policy/seller-giai-quyet-tranh-chap.md,Quy trình giải quyết tranh chấp khiếu nại Người bán,https://banhang.shopee.vn/edu/article/18501,2026-09-20,v2024-Q3,public-source
seller-quy-trinh-tra-hang-hoan-tien,data/return_refund_policy/seller-quy-trinh-tra-hang-hoan-tien.md,Quy trình Trả hàng Hoàn tiền cho Người bán,"https://banhang.shopee.vn/edu/article/563, https://banhang.shopee.vn/edu/article/13319",2026-09-20,v2024-Q3,public-source
