url,doc_id,title,audience,category,language,document_version,license_or_permission
https://help.shopee.vn/portal/4/article/204305,buyer-tra-hang-doi-y,Những điều cần biết về Trả hàng do Đổi ý,buyer,return-refund,vi,v2024-Q3,public-source
"https://help.shopee.vn/portal/4/article/79467, https://help.shopee.vn/portal/4/article/79508",buyer-bang-chung-va-dong-goi,Hướng dẫn bằng chứng và cách đóng gói,buyer,evidence,vi,v2024-Q3,public-source
"https://help.shopee.vn/portal/4/article/79233, https://help.shopee.vn/portal/4/article/190387",buyer-gui-yeu-cau-va-tra-loi,Gửi yêu cầu và Trả lời đề xuất hoàn tiền ngay,buyer,return-refund,vi,v2024-Q3,public-source
https://help.shopee.vn/portal/4/article/189477,buyer-phuong-thuc-gui-hang,Các phương thức gửi hàng hoàn trả và phí hoàn trả,buyer,logistics,vi,v2024-Q3,public-source
"https://help.shopee.vn/portal/4/article/188931, https://help.shopee.vn/portal/4/article/79465",buyer-quy-dinh-chung-va-han-che,Quy định chung và Sản phẩm hạn chế,buyer,return-refund,vi,v2024-Q3,public-source
"https://banhang.shopee.vn/edu/article/21021, https://banhang.shopee.vn/edu/article/10626",seller-tong-quan-va-faq,Tổng quan quản lý Trả hàng và FAQ cho Người bán,seller,seller-management,vi,v2024-Q3,public-source
https://banhang.shopee.vn/edu/article/22227,seller-quy-trinh-shopee-mall,Cập nhật Quy trình xử lý yêu cầu Trả hàng dành cho Shopee Mall,seller,seller-management,vi,v2024-Q3,public-source
https://banhang.shopee.vn/edu/article/25057,seller-meo-cung-cap-bang-chung,Mẹo cung cấp bằng chứng khiếu nại cho Người bán,seller,evidence,vi,v2024-Q3,public-source
https://banhang.shopee.vn/edu/article/18501,seller-giai-quyet-tranh-chap,Quy trình giải quyết tranh chấp khiếu nại Người bán,seller,seller-management,vi,v2024-Q3,public-source
"https://banhang.shopee.vn/edu/article/563, https://banhang.shopee.vn/edu/article/13319",seller-quy-trinh-tra-hang-hoan-tien,Quy trình Trả hàng Hoàn tiền cho Người bán,seller,seller-management,vi,v2024-Q3,public-source
